id,srno,customerName,customerPhone,orderType,paymentMethod,itemTotal,taxTotal,discountTotal,grandTotal,createdAt
"0012b6d5-c307-426d-8a41-da3e68b3582b","16","","","DINE_IN","","1176","58.800000000000004","0","1234.8","2026-03-13T08:58:09.508Z"
"003df2b3-98c5-48d5-827d-7e6042316515","51","","","DINE_IN","","706","35.3","0","741.3","2026-03-06T12:56:23.250Z"
"0044e7a6-f58d-47a2-8c33-f9386cb79ac8","21","","","DINE_IN","","398","9.950000000000001","199","208.95","2026-03-10T09:52:52.981Z"
"005c6c13-999f-445b-a03b-5aaf0cdd7926","103","","","DINE_IN","","1086","54.300000000000004","0","1140.3","2026-03-11T16:25:44.826Z"
"0066a335-93ff-464f-993c-6a28b1f07aaf","24","","","DINE_IN","","278","6.95","139","145.95","2026-03-06T09:14:16.538Z"
"006bcdf7-6b87-4289-9a32-c375280632b3","8","","","DINE_IN","","2044","102.20000000000002","0","2146.2","2026-02-19T09:06:38.124Z"
"00b73c78-eb49-4968-be17-8c4f2cefacae","57","","","DINE_IN","","1376","34.4","688","722.4","2026-02-26T14:01:02.417Z"
"00dd5bc8-5ee4-4a8c-8f2f-538e38cb9bcb","59","","","DINE_IN","","1836","91.80000000000001","0","1927.8","2026-02-23T13:42:21.208Z"
"0101121c-0b26-4f6c-ac17-852c9419fafe","66","","","DINE_IN","","478","11.950000000000001","239","250.95","2026-02-25T14:28:49.855Z"
"0111f254-b824-43af-a475-4d7b44f6ecf2","61","","","DINE_IN","","1931","95.30000000000001","25","2001.3","2026-03-09T14:03:36.081Z"
"011c8bc0-7d5c-40c8-9735-1fdf7e517974","69","","","DINE_IN","","239","11.950000000000001","0","250.95","2026-03-07T13:16:39.976Z"
"01283dfc-a5ef-4169-8bfe-d62b5ba79968","74","","","DINE_IN","","4629","231.44999999999993","0","4860.45","2026-03-02T15:46:18.953Z"
"017b138b-19e3-4c68-b1b5-c56187675fa9","32","","","DINE_IN","","329","16.45","0","345.45",""
"01899650-63ea-4a3b-a32b-21536481e8ef","119","","","DINE_IN","","928","46.400000000000006","0","974.4","2026-02-23T17:28:58.587Z"
"018bb926-8f40-426e-8313-60735c825656","110","","","DINE_IN","","3238","161.9","0","3399.9","2026-02-27T16:32:00.022Z"
"018dfe3a-af72-463a-8f62-52a54c7bdf11","69","","","DINE_IN","","449","22.450000000000003","0","471.45","2026-03-04T13:48:09.980Z"
"019cc53f-353e-4d0a-82c1-febfd76ff5db","89","","","DINE_IN","","1824","91.2","0","1915.2","2026-02-23T15:05:43.010Z"
"01dbd344-7d79-489c-87eb-372b5dc14f21","84","","","DINE_IN","","347","8.675","173.5","182.175","2026-03-04T14:53:18.475Z"
"01f151e0-604b-4838-9455-44473a0787b2","57","","","DINE_IN","","2095","104.75","0","2199.75","2026-02-25T14:02:19.645Z"
"01f54948-f135-490c-bd75-66803ef80c71","26","","","DINE_IN","","199","9.950000000000001","0","208.95","2026-03-09T09:58:52.633Z"
"01f718c6-4716-4b15-a8ad-c47557dafb88","31","","","DINE_IN","","1245","62.25","0","1307.25","2026-03-13T10:38:08.238Z"
"02108aba-8684-444d-bf2a-890f878c4bfd","19","","","DINE_IN","","1082","54.1","0","1136.1",""
